symbol,date,marketCap
FTV,2020-01-03,21767384000.0
FTV,2020-01-02,21858320000.0
FTV,2019-12-31,21528256000.0
FTV,2019-12-30,21472412000.0
FTV,2019-12-27,21556512000.0
FTV,2019-12-26,21475776000.0
FTV,2021-01-04,23299066000.0
FTV,2020-12-31,23979651999.0
FTV,2020-12-30,23514659999.0
FTV,2020-12-29,23109060000.0
FTV,2020-12-28,23311860000.0
FTV,2022-01-04,26541491000.0
FTV,2022-01-03,26433700999.0
FTV,2021-12-31,27410997000.0
FTV,2021-12-30,27317579000.0
FTV,2021-12-29,27238533000.0
FTV,2021-12-28,27173859000.0
FTV,2021-12-27,27080441000.0
FTV,2023-01-04,23061792000.0
FTV,2023-01-03,22725872000.0
FTV,2022-12-30,22731650000.0
FTV,2022-12-29,22908550000.0
FTV,2022-12-28,22448610000.0
FTV,2022-12-27,22756415999.0
