symbol,date,marketCap
ROP,2020-01-03,37864029000.0
ROP,2020-01-02,38087231000.0
ROP,2019-12-31,36946189000.0
ROP,2019-12-30,37015878000.0
ROP,2019-12-27,37194930000.0
ROP,2019-12-26,36832662000.0
ROP,2021-01-04,44052750000.0
ROP,2020-12-31,45264450000.0
ROP,2020-12-30,44248918000.0
ROP,2020-12-29,44016040000.0
ROP,2020-12-28,44388435000.0
ROP,2022-01-04,49648896000.0
ROP,2022-01-03,50156832000.0
ROP,2021-12-31,51940416000.0
ROP,2021-12-30,51606380000.0
ROP,2021-12-29,51800500000.0
ROP,2021-12-28,51915495000.0
ROP,2021-12-27,51486110000.0
ROP,2023-01-04,47063262000.0
ROP,2023-01-03,46183098000.0
ROP,2022-12-30,45844749000.0
ROP,2022-12-29,46351907000.0
ROP,2022-12-28,45217698000.0
ROP,2022-12-27,45957215000.0
