symbol, date, marketCap
AME,4/26/24,40966112820.00
AME,4/25/24,41063041260.00
AME,4/24/24,41129968040.00
AME,4/23/24,41506142700.00
AME,4/22/24,41046886520.00
AME,4/19/24,41009961400.00
AME,4/18/24,40910725140.00
AME,4/17/24,41090735100.00
AME,4/16/24,41330748380.00
AME,4/15/24,41319209280.00
AME,4/12/24,41473833220.00
AME,4/11/24,41656151000.00
AME,4/10/24,41483064500.00
AME,4/9/24,41813082760.00
AME,4/8/24,41753079440.00
AME,4/5/24,42053096040.00
AME,4/4/24,41388443880.00
AME,4/3/24,41796928020.00
AME,4/2/24,41626149340.00
AME,4/1/24,41646919720.00
AME,3/28/24,42210027800.00
AME,3/27/24,42399269040.00
AME,3/26/24,41926165940.00
AME,3/25/24,42177718320.00
AME,3/22/24,42267723300.00
AME,3/21/24,42673899620.00
AME,3/20/24,42510044400.00
AME,3/19/24,41986169260.00
AME,3/18/24,42020786560.00
AME,3/15/24,42075246880.00
AME,3/14/24,42098426280.00
AME,3/13/24,42077564820.00
AME,3/12/24,42147103020.00
AME,3/11/24,41922262840.00
AME,3/8/24,42056703360.00
AME,3/7/24,42089154520.00
AME,3/6/24,41806365840.00
AME,3/5/24,41595433300.00
AME,3/4/24,41977893400.00
AME,3/1/24,41880539920.00
AME,2/29/24,41764642920.00
AME,2/28/24,41426223680.00
AME,2/27/24,41206019380.00
AME,2/26/24,41465628660.00
AME,2/23/24,41305690800.00
AME,2/22/24,41308008740.00
AME,2/21/24,40340693600.00
AME,2/20/24,40343001420.00
AME,2/16/24,40130681980.00
AME,2/15/24,40096064680.00
AME,2/14/24,40019906620.00
AME,2/13/24,38780607280.00
AME,2/12/24,38868304440.00
AME,2/9/24,38886767000.00
AME,2/8/24,38379046600.00
AME,2/7/24,38478282860.00
AME,2/6/24,38328274560.00
AME,2/5/24,38538286180.00
AME,2/2/24,38626901040.00
AME,2/1/24,38264716170.00
AME,1/31/24,37383476550.00
AME,1/30/24,38264716170.00
AME,1/29/24,38140143030.00
AME,1/26/24,37722592320.00
AME,1/25/24,37861006920.00
AME,1/24/24,37542653340.00
AME,1/23/24,38091697920.00
AME,1/22/24,37639543560.00
AME,1/19/24,37378862730.00
AME,1/18/24,37443456210.00
AME,1/17/24,36926708370.00
AME,1/16/24,37743354510.00
AME,1/12/24,37704137040.00
AME,1/11/24,37817175630.00
AME,1/10/24,37759502880.00
AME,1/9/24,37602633000.00
AME,1/8/24,37344259080.00
AME,1/5/24,37081271340.00
AME,1/4/24,37021291680.00
AME,1/3/24,37048974600.00
AME,1/2/24,37572643170.00
AME,12/29/23,38038638990.00
AME,12/28/23,38091697920.00
AME,12/27/23,37957897140.00
AME,12/26/23,38040945900.00
AME,12/22/23,37879462200.00
AME,12/21/23,37761809790.00
