symbol, date, marketCap
FTV,4/26/24,26718649000.00
FTV,4/25/24,26803056999.00
FTV,4/24/24,26746785000.00
FTV,4/23/24,28382190000.00
FTV,4/22/24,28262612000.00
FTV,4/19/24,27924837000.00
FTV,4/18/24,28167234000.00
FTV,4/17/24,28174260000.00
FTV,4/16/24,28469352000.00
FTV,4/15/24,28666079999.00
FTV,4/12/24,28950633000.00
FTV,4/11/24,29330037000.00
FTV,4/10/24,29238699000.00
FTV,4/9/24,29575947000.00
FTV,4/8/24,29586486000.00
FTV,4/5/24,29604051000.00
FTV,4/4/24,29428401000.00
FTV,4/3/24,29769162000.00
FTV,4/2/24,29797265999.00
FTV,4/1/24,29727006000.00
FTV,3/28/24,30218826000.00
FTV,3/27/24,30218826000.00
FTV,3/26/24,29821857000.00
FTV,3/25/24,29660259000.00
FTV,3/22/24,30092358000.00
FTV,3/21/24,30282060000.00
FTV,3/20/24,30169644000.00
FTV,3/19/24,29986968000.00
FTV,3/18/24,29937786000.00
FTV,3/15/24,30256574999.00
FTV,3/14/24,30409010000.00
FTV,3/13/24,30295569999.00
FTV,3/12/24,30557900000.00
FTV,3/11/24,30086415000.00
FTV,3/8/24,30150225000.00
FTV,3/7/24,30136045000.00
FTV,3/6/24,29859535000.00
FTV,3/5/24,29827630000.00
FTV,3/4/24,30058055000.00
FTV,3/1/24,30359380000.00
FTV,2/29/24,30178585000.00
FTV,2/28/24,30589805000.00
FTV,2/27/24,30529540000.00
FTV,2/26/24,30494090000.00
FTV,2/23/24,30525995000.00
FTV,2/22/24,30377105000.00
FTV,2/21/24,29653233000.00
FTV,2/20/24,29417862000.00
FTV,2/16/24,29621615999.00
FTV,2/15/24,29723493000.00
FTV,2/14/24,29361654000.00
FTV,2/13/24,28989276000.00
FTV,2/12/24,29207082000.00
FTV,2/9/24,29052510000.00
FTV,2/8/24,28890912000.00
FTV,2/7/24,28922529000.00
FTV,2/6/24,28648515000.00
FTV,2/5/24,28904964000.00
FTV,2/2/24,29164926000.00
FTV,2/1/24,28887399000.00
FTV,1/31/24,27464634000.00
FTV,1/30/24,26301870000.00
FTV,1/29/24,26298349000.00
FTV,1/26/24,26044837000.00
FTV,1/25/24,26157509000.00
FTV,1/24/24,25963854000.00
FTV,1/23/24,26168071999.00
FTV,1/22/24,25953290999.00
FTV,1/19/24,25446267000.00
FTV,1/18/24,25203318000.00
FTV,1/17/24,24963890000.00
FTV,1/16/24,25129377000.00
FTV,1/12/24,25308948000.00
FTV,1/11/24,25259654000.00
FTV,1/10/24,25287821999.00
FTV,1/9/24,25305427000.00
FTV,1/8/24,25393452000.00
FTV,1/5/24,25154024000.00
FTV,1/4/24,25182192000.00
FTV,1/3/24,25013184000.00
FTV,1/2/24,25446267000.00
FTV,12/29/23,25925123000.00
FTV,12/28/23,25907518000.00
FTV,12/27/23,25946249000.00
FTV,12/26/23,25858224000.00
FTV,12/22/23,25664569000.00
FTV,12/21/23,25555418000.00
FTV,12/20/23,25210359999.00
FTV,12/19/23,25629359000.00
FTV,12/18/23,25414578000.00
FTV,12/15/23,25379368000.00
FTV,12/14/23,25727946999.00
FTV,12/13/23,25065999000.00
FTV,12/12/23,25009663000.00
FTV,12/11/23,24882907000.00
FTV,12/8/23,24256169000.00
FTV,12/7/23,24316026000.00
FTV,12/6/23,24182228000.00
FTV,12/5/23,24048430000.00
FTV,12/4/23,24481513000.00
FTV,12/1/23,24400530000.00
FTV,11/30/23,24287858000.00
FTV,11/29/23,23840690999.00
FTV,11/28/23,23766750000.00
FTV,11/27/23,23745624000.00
FTV,11/24/23,23784355000.00
FTV,11/22/23,23882943000.00
FTV,11/21/23,23735061000.00
FTV,11/20/23,23830128000.00
FTV,11/17/23,23978009999.00
FTV,11/16/23,23812523000.00
FTV,11/15/23,23745624000.00
FTV,11/14/23,23569574000.00
FTV,11/13/23,22999171999.00
FTV,11/10/23,23178743000.00
FTV,11/9/23,23006214000.00
FTV,11/8/23,23027340000.00
FTV,11/7/23,22872415999.00
FTV,11/6/23,23094239000.00
FTV,11/3/23,23220995000.00
FTV,11/2/23,23027340000.00
FTV,11/1/23,22953399000.00
FTV,10/31/23,22985088000.00
FTV,10/30/23,22900584000.00
FTV,10/27/23,22897063000.00
FTV,10/26/23,22921709999.00
FTV,10/25/23,22745659999.00
FTV,10/24/23,24735025000.00
FTV,10/23/23,24650521000.00
FTV,10/20/23,24731504000.00
FTV,10/19/23,25034309999.00
FTV,10/18/23,25379368000.00
FTV,10/17/23,26456794000.00
FTV,10/16/23,26287786000.00
FTV,10/13/23,26097652000.00
FTV,10/12/23,26756079000.00
FTV,10/11/23,27168036000.00
FTV,10/10/23,26925087000.00
FTV,10/9/23,26565945000.00
FTV,10/6/23,26569465999.00
FTV,10/5/23,26266659999.00
FTV,10/4/23,26034274000.00
FTV,10/3/23,25830056000.00
FTV,10/2/23,25949770000.00
FTV,9/29/23,26111736000.00
FTV,9/28/23,26185677000.00
FTV,9/27/23,25911039000.00
FTV,9/26/23,25794846000.00
FTV,9/25/23,26344121999.00
FTV,9/22/23,26153988000.00
FTV,9/21/23,26027232000.00
FTV,9/20/23,26425105000.00
FTV,9/19/23,26643407000.00
FTV,9/18/23,26921565999.00
FTV,9/15/23,26756079000.00
FTV,9/14/23,26837062000.00
FTV,9/13/23,26696221999.00
FTV,9/12/23,26925087000.00
FTV,9/11/23,27643371000.00
FTV,9/8/23,27308876000.00
FTV,9/7/23,27692665000.00
FTV,9/6/23,27351128000.00
FTV,9/5/23,27252540000.00
FTV,9/1/23,27822942000.00
FTV,8/31/23,27763084999.00
FTV,8/30/23,27882799000.00
