symbol, date, marketCap
ROP,4/26/24,56323730000.00
ROP,4/25/24,57823870000.00
ROP,4/24/24,57567070000.00
ROP,4/23/24,57739340000.00
ROP,4/22/24,57684770000.00
ROP,4/19/24,57125222000.00
ROP,4/18/24,56365163000.00
ROP,4/17/24,56279643000.00
ROP,4/16/24,56334162000.00
ROP,4/15/24,56470994000.00
ROP,4/12/24,57280227000.00
ROP,4/11/24,57687516000.00
ROP,4/10/24,57297331000.00
ROP,4/9/24,58098012000.00
ROP,4/8/24,58071287000.00
ROP,4/5/24,58047769000.00
ROP,4/4/24,57435232000.00
ROP,4/3/24,58226291999.00
ROP,4/2/24,58360986000.00
ROP,4/1/24,59181978000.00
ROP,3/28/24,59953796000.00
ROP,3/27/24,59776341999.00
ROP,3/26/24,59268566999.00
ROP,3/25/24,58895486000.00
ROP,3/22/24,59477022000.00
ROP,3/21/24,59466332000.00
ROP,3/20/24,59229013999.00
ROP,3/19/24,58994903000.00
ROP,3/18/24,58821432000.00
ROP,3/15/24,58949595000.00
ROP,3/14/24,58920516000.00
ROP,3/13/24,59183304000.00
ROP,3/12/24,59795040000.00
ROP,3/11/24,59652876000.00
ROP,3/8/24,58798815000.00
ROP,3/7/24,58838664000.00
ROP,3/6/24,58180617000.00
ROP,3/5/24,57835977000.00
ROP,3/4/24,58935594000.00
ROP,3/1/24,59015292000.00
ROP,2/29/24,58667421000.00
ROP,2/28/24,58529565000.00
ROP,2/27/24,58922670000.00
ROP,2/26/24,59009907000.00
ROP,2/23/24,59974899000.00
ROP,2/22/24,59806886999.00
ROP,2/21/24,58690238000.00
ROP,2/20/24,58165359000.00
ROP,2/16/24,58321433000.00
ROP,2/15/24,58579062000.00
ROP,2/14/24,57908799000.00
ROP,2/13/24,57236397999.00
ROP,2/12/24,57972938999.00
ROP,2/9/24,58822794000.00
ROP,2/8/24,58296846000.00
ROP,2/7/24,58654961000.00
ROP,2/6/24,58292569999.00
ROP,2/5/24,58355641000.00
ROP,2/2/24,58754378000.00
ROP,2/1/24,58347088999.00
ROP,1/31/24,57405300000.00
ROP,1/30/24,59919519000.00
ROP,1/29/24,59317730999.00
ROP,1/26/24,58650855999.00
ROP,1/25/24,58866390000.00
ROP,1/24/24,58447059000.00
ROP,1/23/24,58984826999.00
ROP,1/22/24,58675397000.00
ROP,1/19/24,58523883000.00
ROP,1/18/24,57824998000.00
ROP,1/17/24,57318173000.00
ROP,1/16/24,57326709000.00
ROP,1/12/24,56998073000.00
ROP,1/11/24,56807080000.00
ROP,1/10/24,56583009999.00
ROP,1/9/24,56713184000.00
ROP,1/8/24,56420826000.00
ROP,1/5/24,55811569000.00
ROP,1/4/24,55928938999.00
ROP,1/3/24,56657700000.00
ROP,1/2/24,57030083000.00
ROP,12/29/23,58169638999.00
ROP,12/28/23,58274205000.00
ROP,12/27/23,58018125000.00
ROP,12/26/23,57996784999.00
ROP,12/22/23,57922095000.00
ROP,12/21/23,57650009999.00
ROP,12/20/23,57078098000.00
ROP,12/19/23,57784451999.00
ROP,12/18/23,57934899000.00
ROP,12/15/23,57783384999.00
ROP,12/14/23,57493161000.00
ROP,12/13/23,58767159000.00
ROP,12/12/23,57987182000.00
ROP,12/11/23,57640407000.00
ROP,12/8/23,57255220000.00
ROP,12/7/23,57063159999.00
ROP,12/6/23,57123979000.00
ROP,12/5/23,57142117999.00
ROP,12/4/23,57271225000.00
ROP,12/1/23,57679886000.00
ROP,11/30/23,57431275000.00
ROP,11/29/23,56106061000.00
ROP,11/28/23,56110329000.00
ROP,11/27/23,56017500000.00
ROP,11/24/23,56080453000.00
ROP,11/22/23,56388816000.00
ROP,11/21/23,56246905000.00
ROP,11/20/23,55987624000.00
ROP,11/17/23,55987624000.00
ROP,11/16/23,56028170000.00
ROP,11/15/23,55577896000.00
ROP,11/14/23,55985490000.00
ROP,11/13/23,55163900000.00
ROP,11/10/23,55179905000.00
ROP,11/9/23,54389258000.00
ROP,11/8/23,54530102000.00
ROP,11/7/23,54103302000.00
ROP,11/6/23,53691440000.00
ROP,11/3/23,53621018000.00
ROP,11/2/23,52715135000.00
ROP,11/1/23,51978905000.00
